,review,Bike
19,"This vehicle has more pros than cons.  Usage period: 10 months Pros: mileage i got around 50-55km if you maintain speed at 60kmph. Storage space is awesome can hold 2 helmets . One full face and one half. Always go for disc version , excellent breaking it is best  for traffic sudden breaking and highway cornering. It almost saved my life twice. Hats off to excellent breaking. Even at 50km if you apply a sudden break (front disc break ), the vehicle will be in control , will not skid. Front telescopic suspension is great. (disc + telescopic makes the vehicle not to skid)Pickup is great. travelled 422 km in a single day, pick up, braking , engine sound all perfect no issues.After sales the service is excellent.No need to worry all spares are readily available. Price is also same as honda , tvs. Cons: Rear tyre's when ages ( 8 months) skids a bit . In rainy reason you can feel it .Also some times , when you apply sudden disc break the front mud guard touches to the front nose of the fibre  body. Which tends to crack (very rarely- depends upon person driving / way of applying break).Overall its nice 2 wheeler. Blindly go for it. This vehicle is recommended only for gentle and smooth drivers and not for sporty driving.Hope this review will be useful.",Access
20,"Comparing with honda acitva, jupiter this one suzuki access 125 has very bad experience. 1st - seat is width wise broad which becomes very uncomfortable to seat. 2nd suspension is very hard(not for people average 60-70 kg) 100kg above can get good suspension due to its hardness. Foot-board is on bit higher level which is not comfortable even for me a tall guy. Petrol cap is inside seat.  So overall 1.Bad seat, 2. Bad foot-board height 3.Bad suspension. 4. Bad petrol filling design. Regretting much to have this scooty.",Access
21,Vehicle compressor not working proper 12000/_ paid for maintenance at shiv suzuki Chinchwad pune after same problem suffering. My 4 friends in my society having same problem Fitter suggest me 100ml oil drop in petrol tank every month. Front mudguard crack at mounting area i think design is weak. Overall this bike failed by suzuki.,Access
22,"Excellent mileage. Maintenance cost is very low. You will have a comfortable seating for those who sit in the back. I'm 5'11 tall for me, i think leg space is bit low. You can carry groceries items very easily. You can carry a rice bag ahead and travel happily. Pickup is also nice. Bike can go upto 90kmph easily.",Access
23,We brought the scooter from chennai abt suzuki at nandanam. The staff were very polite and patient in explaining all the features. Scooter rides smooth in city with good pick up speed. Looks neat and premium. Mileage is 40 kmpl. For heavy people the scooter might feel out of balance when riding due to seat shape. Breaking is a bit uncomfortable at high speeds. Good for single rider use and commuting to office and shopping.,Access
24,Around 1 year ago i have bought suzuki access 125 from my local showroom on that time it was costing me 67000 on road price. I had a very good experience while riding my access 125 because it has a awesome pickup out of every scooty and comfortable  for driver to ride and had a very good average around 50. It doesn't require any maintenance apart from engine oil. I gave this scooty 4 stars out of 5 just because of his headlight because its kind of old-fashion which is usually not liked by young generation.,Access
25,"Long term review, purchased all new access a year back 1. Lightest 125cc scooter in the country. Its weight is 103 kgs only, that is why its mileage is high.2. Long and wide seat , very comfortable for my small family. Very huge under seat storage. My full face stud ninja fits in it without touching the seat. Also my lenovo laptop also fits in it without any hassle. 3. Front suspension is very good and real suspension is very soft and comfortable when i drive with my family.4. I was worried about the air filter issues in old access, but it was fixed in this new model. I experienced it when i drove my new access on a rainy day in delhi, with all roads full of water. It came out of deep waters without any issues. 5. Pilot lights and frond head light always remains on in this model. But they are not connected to battery, hence no issues of battery discharge. 6. Speedometer is analog, but digital display to show number of kilometers. Also has two digital trip meters which helps to know the distance between two places. 7. Handle is tall, making very upright riding position, no tiredness even after running on long journeys.8. I drove it continuously for 6 hours at the speed of 80kmph with no sign of engine effort. Top speed reached is 95kmph but since its very light weight, it is very risky. Activa and jupiter cannot go beyond 80kmph9. Mileage i am getting is 60kmpl on highways, and 50kmpl during my city travel. I travel around 40km daily on this scooter. 10. Four free service offered by company with 5 years extended warranty on engine at 700rs---Cons-1. Not fit for ladies as its taller than activa 125 and jupiter. Also the pickup is very high which ladies might not be able to handle while it starts moving from stand still. 2. After every 200 kms the accelerator setting is disturbed and had to be returned. Else it will stop when throttle is down and you may stuck in the traffic. 3. Self start is not as good as activa. 4. Sometimes it loses power while running on road. Which comes back after some time while we accelerate continuously. Reported similar issues from activa and jupiter after running 12000 kms. 5. Suzuki showrooms are limited in numbers. And they charge high for insurance. Conclusion- I use it for my long leisure journey (500kms) and daily commute to office, and also family ride to supermarkets. It has great power, comfortable sitting posture, best shock absorbers, lightest to be handled, has largest under seat storage, and giving best mileage. I'm satisfied with my purchase as it fits all my purpose which currently no other scooter can do.",Access
26,"I bought this scooter on feb 2020, after so much of research i felt this is the best scooter and i went for suzuki access 125 bs6, actually power of the scooter and mileage is  very good, but i faced some issues, first  one day horn  was not working and next day it got ready, and after few days there was problem in battery, i had issue of self start even if i do kick start at the morning and i ride for around 15 km for my office again it wont take self start, i complained about it in show room some 2 -3 times when i went they convenience me by giving full accelerator and after that it took self start, but again in 2 days same issue, they told its because of cold climate, after my 3rd visit they gave me some old stand by battery and told we will replace the battery and it took around 20 days to receive the battery, now any ways its working properly, but now the right side bulb below the indicator is not working. I called service center they told i have to pay to  bulb , so i cant understand why this company is using such local battery and accessories.",Access
27,"I had purchased access 125 model 2008 only 5000 kms run i purchased recently on this year . That was waste and worst vehicle i purchased from know person that fellow sell me i had run on 100 or 200 first starting problem when purchased problem is there he tell me this is not used vehicle you have luck 2 purchase i have taken 20000 Indian rupees  and send vehicle with my brother he gone to mechanic  actually he is my brother friend  .When vehicle ready bill 2500 ok and only 4 days running after same problem and i my self  gone to mechanic check engine oil   and oil not there he fill oil ok after four days same starting problem and heavy smoke from back side and i gone to mechanic he checked oil .He tell me bro oil is over in engine i ask him tell me one  thing how is vehicle no problem, he tell me good news that this vehicle is failed and this bore and piston is gone  waste vehicle your purchased please don't purchase this vehicle ok, worst and waste vehicle access 125.",Access
28,"I bought this scooter 76,000 rupees in 2017, this is very good scooter for men and women, it gives best riding experience in city and highway, it looks good and it gives a best performance. Pros: Mileage, Performance,  Looks good, Seating, Charging port, Leg space. Cons: Need to improve lighting, Improve shock absorbers.",Access
29,I bought suzuki access 125 special edition bs6. Mileage is low not more than 37km. Spare parts availability is rare. If you order spare parts you will get after one month. Poor vehicle service. And udan suzuki not tie-up with insurance company for cashless flow. Suzuki compare to honda. Honda is good for servicing.,Access
30,I bought this bike june2019 and feedback oct2020.Over feeling is good but few things can be improved.1. The head light capacity has to increase. I felt with out street light driving very difficult and dangerous.2. Bike suspension to be improved. I felt even small pit make you feel like inconvenience to drive.3. Regarding mileage:  after completion of 4th servicing  giving 55 to 58 km per litter in chennai roads when you drive 40 to 55 km per hour speed limit. And service centers have to quality servicing and standards. Thank you.,Access
31,"I bought this bike in october 2017 in festive season which was suggested by the representative when he heard about full payment option, due to him i got 4k cash back and in only 4 hours got it's delivery. Staff personnel were polite and responsive. It's tall, long and comfortable. Best part is it's tyres which was 12 inches to gives a stable and confident ride. Looks descent and appealing not for a person looking for sporty or stylish scooter, pickup and acceleration is superb considering men and women driving, mileage is key factor as it's say 'cum peeta hai' which is true. Service is good but i got battery problem in its first year don't know the reason but i think it's due to the day light running/regular option. Got replacement of battery through third party but he says no further guarantee and warranty on this, which runs till this august and i purchased a new one now. You don't have much maintenance as a city ride bike but needs regular checkup after 3k km after completing free services. No such cons if you want a descent commuter and not such extraordinary one. It is a best scooter as compare to its rivals. If you think about company, service and bike don't worry about it, product is superb.",Access
32,"I have been using this scooter for the past 2 years. It has very good pickup and mileage among peers. It is easy to maintain and comfortable to ride as it weighs only 100kg. All is fine, except 3 major problems. First problem is that the drum brakes are bad  and need to be tightened every 100km or so.Second, the quality of steel used is bad as i see rusting already.Though the above 2 problems can be overlooked there is one more major issue with the scooter.The problem is with their service network. I have been to many authorized service centers but their mechanics did a poor job. I had problem with pick up and then mileage drop, which none of them were able to fix. Luckily I found a local mechanic who fixed it.",Access
33,Worst experience. Just 3 months old and gives problem in riding and is very unhappy Not satisfied at all. While riding it got stopped and did not start again. So pathetic to see this kind of structure for suzuki access. ,Access
34,The battery is the worst. Bs6 special editions bought 1 year ago. The self starter don't work the battery is always in low condition. Please fix the issue .93000 and the self start don't work for low cost of battery. You cannot start it through. When first start always I go for kick start but it did not work.,Access
35,"1.I have concern on mileage of the scooter.2. Ride quality not that good.3.In this segment others offer so many features at low or same price. like auto stop engine, side stand sensor, distances to empty etc.4. Feel jerks when we race it  hard.5.It has a good comfortable and long seat.",Access
36,"1) buying experience is like love at first sight because it's eye catching than other brand scooter.2) riding is very smoother as said as smooth as butter.3) in single word looks hot.4) easy maintenance and service5) pros    better look & riding experience when compared to other similar brands, lesser vibration than other scooters    cons     bit costly, lesser under seat space, throttle is tighter.",Access
37,"Total money wasted on my bike Daily starting problem not working in any garage. High charges of maintenance, rainy season is a problem. No long rides above 50 km. I advice activa is a best Honda brand.",Access
38,Suzuki access-125 looks very nice and that's why i like this scooter so much. This scooter comes at an affordable price and it offers very good features. This scooter is very comfortable to ride and it can perform well for the city commute. This scooter gives good mileage also. I am using this scooter and very happy with its performance.,Access
39,"I brought access 125 in march 2015, it has a great pickup as compared to other brands. But the problem comes in mileage , if you ride it on highway it will give a good mileage of 40 to 45 but in city not more than 35. The main. Problem with access 125 is suspension, very pathetic experience. Even you can feel the back pains and lower back neck pains too much.The main cons are :-Discomfort: during long rides, it tends to become uncomfortable due to the seat being wider and considerably hard.Tyres: as mentioned in another answer, the tyres wear of pretty soon leading to slippery grip.Mechanic availability: if the bike breaks down, there is shortage in mechanics well versed with access125. Many stay away from touching your bike.Start mechanism: it does not start immediately when you try to start using the electric start after some years. Battery replacement did not help me here either.Headlight: compared to others, the headlight beam is not stronger and is focused on a smaller area.Repairs: from the past year I am experiencing starting problem and bike abruptly stops in middle of traffic. The engine gets heated and takes time to pickup.The suzuki that i own has good power and can out accelerate many scooters of that engine capacity and maybe some higher end commuter bikes.But these are designed to go for the city or at most intercity travels.The upright seating position of it makes it not very comfy to travel for more than 70 kms at a stretch.She's not designed to go fast but she's designed to be quick. She will top out at around 80 km/h and that is slow according to my highway standard.Since there is no oil cooling it will heat up faster than average sporty bikes and the tires are not designed for quick manoeuvres on the highway.Then comes the mileage of a mere 45 km/l at around 60–70 km/h(my personal observations). So the tiny 6lt petrol tank is not going to help.So look for sporty touring bikes or maybe.See every scooter has one single problem in it and that is the drive belt problem. Take jupiter, activa or any other scooter. At some point of time you will encounter this problem.Now other problem might include the spark plug problem, cooling fan problem/air intake problem as well. ( main issues in every scooters)Now talking about the access I have driven it many times. And its indeed the good scooter no doubt. It's engine is subtle, punchy at lower rpm, decent performance and the most important being an indian is mileage and it does good in that area as well.Talking about the engine problem in the access, obviously you can expect the drive belt, air intake problem. That's it. And the friend of mine who owns the access, he's not a good maintaining person of the two wheelers and he's been using the scooter for like 6 years and the scooter has the issue in the drive belt problem. That's it other than that he's having no such engine problem in it. ( bs4 version)",Access
40,"I bought suzuki access 125 scooter 4 months ago. I have been facing many issues with the bike and need to take it to service centre every time. The scooter abruptly stops when we drive it. This issue was raised last week also and taken to service centre and they said fixed but within 3 days the same issue arised. I don't know what kind of service you provide to customers which is not satisfactory at all. I would like to get a new scooter for replacement. Please consider it and solve it asap. The list of issues we faced till now are - battery problem, abrupt scooter stops, oil pump, poor mileage etc. It seems like the service centre guys hides the original issue and does not solve it. Kindly provide good service to vehicles.",Access
41,"Poor mileage. Service bad. I don't suggest suzuki access to anyone. I complained about notice at disc in the second service (before 6 months of purchase). Now it completed 3 free and 3 paid services but still the complaint was not rectified till now. I remind them every time but no use. Pathetic response from the service center Padmaja suzuki, Visakhapatnam.",Access
42,"1. Buying experience was not so good like2. Riding experience is very pathetic. Very very cheap quality bike and it got many issues with engine and other moving parts.3. Looks is ok but if engine and other parts are of cheap quality and performance is very very bad than what is the use of looks. 4. Servicing and maintenance - since i bought bike, i am facing lot of issues with engine and moving parts. Now 1 year crossed and till date service people could not identify the issue and still they are struggling to repair the bike. Till date it's under maintenance. They are also not replying to mails and not responding in anyway. This is just a stupidity. Never ever buy suzuki bikes . Advice to all people not to waste time and money on such cheap quality bikes. There are much better bikes at less price compared to suzuki bikes with good quality and performance. 5. Pros - actually the fact is there are no pros for this bike. Cons - 1) major engine issue which the main thing in bike2) other moving parts are also having issues3) build quality of bike is very very pathetic4) alloy wheels are of low quality. My bikes alloy wheels got black spots all over and it's a defect of casting. How suzuki passed this casting, they themselves know. 5) heavy strokes of engine and complete bike get vibrations. 6) my bikes front wheel alignment is completely spoiled In short complete bike is just a scrap bike and it has no value .  Never buy suzuki bikes",Access
43,Actively owing access 125 used for daily commute from last 6 month.  Service of Meghdooth suzuki of bangalore is not at all good it's average. Pros - good to handle. Ample amount of storage space. Cons - front suspension is very poor compared to tvs Ntorq. The head light is not clearly visible. Felt too much vibration. Braking is below average .Compare with Ntorq - Ntorq wins the race except mileage part.,Access
44,"The only problem in this vehicle is the kick start, we cannot directly kick start the vehicle, making to middle stand and then kick starting is headache.Other puppet vehicles are better as we can kick start directly, no need of middle stand.Please give a solution to this. Rest all is good, giving the option of outer fuel filling made easier.",Access
45,Very very bad service and maintenance.Low quality accessories Within 6 months of self starting troubles started.They would not clear it in service I feel its a very bad experience in access 125Battery complete They all service for adjustment only. 1 week vehicle i got good service after 1 week it started it's troubles,Access
46,"Scooter is outstanding, Smooth riding and economic performance, What other people say this scooter poor or something else, Because of there Karma, some people always not happy in own life,",Access
47,"I have been using suzuki access 125 since 2020.Within the first one and half year it's self starting has damaged . It's too difficult to do the cold starting, the starting motor or self starter unit is not worthy for the amount we paid for the vehicle. I'm disappointed in the poor performance of self starter unit.",Access
48,Buy experience was not that great and I thought I would have gone with activa 125.But then due to pricing and soft corner towards mat colour ended up it. But I am happy with its riding comfort and especially luggage space you can fit a full face helmet under the seat u are even provided a power socket in the front which is better then to have it under the seat. Performance is great it's one of the best and adequate  in the segment. Looks great in mat colours and standing out with different colours seats and those rear view mirrors. Servicing experience is kind of ok. Cons:'kam to nahi peeti hai ye' Over all its a very good package.,Access
49,"Defective vehicle delivered to me, please don't take the delivery in the evening time. It's not even run 1000km rear wheel tyre bolt came out on its own, luckily it happened on service road where vehicle traffic was very less. If the same had happened on main road I would have been crushed to death if a speeding vehicle was behind me. Today again the same thing happened to me and I was lucky again. The mechanic to whom I showed this told me that he is been seeing this problem is in all new access 125. I took it to showroom to show they told it's happened by chance and didn't take seriously they blame it on me itself telling somebody tried to steal my rear tyre. Last week I took it to service and they changed the bolt and again this same thing happens today 23/07/21. I parked my vehicle under CCTV surveillance nothing like what showroom people mentioned happened If anything happens to my life Meghdooth Ulsoor is responsible for the accident Suzuki Motors are also equally responsible. Please don't buy any vehicle from here, please don't buy Suzuki Access 125cc 2021 Model. You will end up spending your hard earned  money on a defective vehicle pain and agony will be yours afterwards. Nobody tried to steal my rear wheel it's a defective vehicle supplied to me.",Access
50,The scooter gives good riding comfort. The engine is very smooth. I have been using it for more than 2 years now. there is  only problem is electrical issues. Have changed head light and lights near indicator twice. Battery changed one before completing first year. I live in one of the busiest city in Chennai and the mileage I get is more than 43. Mileage is around 50 in less traffic.,Access
51,"I use this since February2020.  After 1 year it becomes very difficult.  Battery problems start. I changed new battery but no use.I bought it in Abhi Suzuki, Nellore. AP. Very bad service experience in this showroom. Technicians were not able to resolve till now. They are not identifying the problem. Bad.",Access
52,Mileage is so poor. It gives only 35 kmpl. Just a fake advertising for the sake of selling the product. Less value for money. Only looking good doesn't matters it should also give good mileage as shown in every advertisement. Poor mileage dissatisfied more. Feels like company cheated the buyer by fake advertising.,Access
53,Battery of this scooter is very poor. Not able to start with self or kick. Service was terrible. No dealer are providing good service. Tried to make complaint on head office no use. They will not take any complaints from customers. Very much horrible experience with scooter and the service provided by suzuki. I recommend not to buy bikes from suzuki.,Access
54,"I bought Metallic Dark Greenish Blue colored Access, 125 from Padmaja Suzuki, Vijayawada Andhra Pradesh. Riding experience was very good. I drove 110 km/h speed on High way roots with comfort. Advanced Suspension is  need this bike. Suspension is not in satisfied mode. Looks Dashing and Dynamic. Services are  very bad at Padmaja Suzuki, Vijayawada Andhra Pradesh.",Access
55,Its looks are different from other scooters and I like color of this scooter suzuki 125.  It's ride is very smooth and looks very neat. It is fit for all gender. I saw suzuki 125 and it's riding style then only decided to buy this scooter.,Access
56,Worst experience I ever had. I will never recommend this vehicle to anyone ever.I just got my waste of money. This is just comfortable bike nothing else. Expenses of servicing and maintenance is unreasonably high. I bought this on my birthday and in a month. Fuel pump got down and all service centers said we don't have this part.My vehicle was at service center more than 30 days. Poor services. Don't go for suzuki.,Access
57,"The buying experience is very good as I bought the scooter in the nighttime around 7 pm with my mother and that day i am feeling like proud that i have owned my dream scooty. As i have gone through lots of scooty showrooms and taken the test drives.Some of the scooters names will be mentioned here and what is the disadvantages of that scooty what i have seen in that:1) hero maestro fi ( basic problem is that the scooty is so much at small and while sitting in that i feel so much of uncomfortable.2) Honda activa all versions: -in this scooty what i have seen that the handle braking and handle  style are not so much different.And at last, i have gone to the Suzuki showroom which is near to my house in that i have selected two scooty that is Suzuki access 125 and Suzuki burgman, i have taken the test drive and decided what will be the price for both scooty. After deciding i have asked the price at that time the Burgman cost high so i cannot afford to buy, but the access price is near to my marking so i have booked that scooty.The riding experience with suzuki access 125 is super.About the looks of the scooty are super and the handling is awesome, the performance is also excellent.Frankly speaking, the servicing and maintenance are good from what i have seen now.Cons are: - ) in bs4 we cannot replace the headlight from halogen to led.- ) we cannot change the speedometer to get the bluetooth speedometer.",Access
58,Worst experiences. Just 4 months complete but the scooty is not useful at all. It's not starting. Self not working kick not working. The engine is very bad. Dealer is not attending to the complaints. The company is not taking any action. But my EMI gets cut every month. Do not buy.,Access
59,"I bought it about one month back. I am facing so much problem in its self start. 80% of the times i use kick to start it.  Even when it starts, sometimes it stops in midway. It was a mistake to buy it. I bought it for 97000 rupees and its not worthwhile. I am regretting now. Not recommendable. Go for some other scooter.",Access
60,Total I have done 240 km in a span of 50 days. I didn't have major problems in this. I have only one problem which is while we switch on the ignition the 3 lights glow during day and night. It decreases my battery life. May be if Suzuki installs light switch which will be very useful. And they using less quality lights for indicator lights.,Access
61,"A very bad decision buying it. 10 days after I bought, It doesn't start only. Totally depends on scooty  sometimes, I try for half and hour, it doesn't start and then I book a cab. One day I stopped in around 2 kms from my home to buy grocery, later it did not start only. After trying for 15 minutes, I dragged it 2 kms home. You cant stop it any petrol pump, it will never start again. It just a scarp now. Just a scrap. Dealer never answers call. No number plate, no servicing, no rc.Nothing. Just a scrap of 94000.",Access
62,Self start is not working properly since one month. Don't buy Suzuki access 125. It is not worthy for its cost. I bought this scooter for 97000 and now I am unable to use this scooter because of starting trouble. Waste of money. I used this scooter for only one month. After one month I am unable to use it.,Access
63,"Purchased the vehicle from nearby showroom there is a vibration sound comes from the machine. I have mentioned the issue to service but they couldn't solve the issue. Simply waste of money in investing Suzuki access. I would rate it as 1 star for the performance it gives. I would suggest somebody to go for other brands simply by look, it's good but performance wise it's worst. Don't waste your time and money by buying this.",Access
64,Bike is good but not technological proof because starter and compression problem running with this new models..And i get nonsense reason from showroom that we changed oil outside the showroom because of that those problem is come...It means shell company manufacturing duplicate oil....I suggest to new bike user kindly choose another once instead of access 125.,Access
65,"I am using this vehicle for more than 3.5 years and driven 32000 km  i have never compromised with pickup and the average. If your riding in the economy means 40 to 50 then it will give you good mileage. I am getting 52kmpl  sometime you are riding above that but it's fine i am getting the same average that i have said. Service cost is economical as per other brands. The riding posture is good and has enough leg space, 3 people can easily set on the bike comfortably. Now talking about cons i have only one issue is that if you ride more than 20 km in city you will feel in the lower back pain that i am getting it depends on the user.",Access
66,"The price was good. I bought it for rs58000/- in the year 2014 in haldwani. Riding is good, it picks up speed very quick, the pick up of this scooter is also good. I live in nainital hill station and it easily picks 2 pillions with me, the inclination of road which i drive on is 20 degree.Look wise not good, the quality of body material is pathetic , it's all plastic in suzuki access, it's not safe regarding built quality, feels like a cycle.The servicing cost is around 2000 a year, replacements are extra.The after sales services is not good of suzuki compared to what tvs and hero offers.The pros are- pick up, mileage(50 kmpl that's too in hills), better acceleration.Cons- lightweight, poor built quality and after sales service, boot space.",Access
67,"Buying experience was good with advaith suzuki in bangalore. The riding quality is good with sufficient power for inter city commutes.It had run about 200-300kms and once it had suddenly turned off in the middle of the road while it was running.I thought it would be some small issue.But it happened 2-3 times again in the same manner and once the accelerator stopped working while the vehicle was running.Main thing,if you are looking for this vehicle in terms for mileage please don't buy.It is giving about 31-32kms per liter, which is very less.",Access
68,Bike is superb. Only major flaw is the electronic meter. Suzuki has left a tiny hole on top lid of the odometer box which directly communicates with the electronic meter. Accidentally water can seep through the hole into the meter & can damage it completely. You have no other option than to replace the meter; the meter assembly costs 2800 inr & plus there's no warranty on it. Suzuki service people are clueless about the issue.,Access
69,"Terrible experience, i am using this bike for more than three years now. The braking system is horrible. I have fell down more than five times because of this horrible braking system. Even resale value is way low compared to activa. Apart from speed this scooter is of no use. I have spent more time in service center.",Access
70,"It's a superb scooter, i had using it about 3 years, no more complaints, good performance, good service by access, smooth riding in all kinds offroad roads.It looks so beauty.I have a black coloured suzuki access 125.I feel comfortable on long rides. I am totally satisfied through this bike.Its a super experience.",Access
71,"Bought access 125 cbs special edition (silver) in july , 2018 after much deliberation and comparing it with other scooters . This i can say definitely that it is a paisa wasool product . If you want a scooter for daily city commute few will come close to it. Pros : - 1> powerful performance and peppy acceleration - you won't realise when you reach 40 kmph.2> frugal  - when driven sensibly within the speed limits in eco mode , gives 50+ mileage after 2 servicing.3> retro look and feel -  chrome treatment on front along with silver colour and contrasting black wheels give it a classic look.4> smooth suspension and comfort - with telescopic front suspension ( missing on activa 110 ) , the bike feels as if you are riding a plush sofa on smooth tarmac.5> lots of space in the boot to keep documents , hooks to hang daily use items. Cons : - 1> lack of led lighting 2> no external fuel filling option.If you are looking for a classic scooter which is very practical and also has excellent performance , look no further . Suzuki has this remarkable product and i truly believe it should do the sales figure activa is doing right now.",Access
72,It is a amazing vehicle for daily use and easily to manage it.Very quickly ride in traffic block and chasing very comfortable.Its seating arrangement are safe and centre of gravity. I am very successful user of this vehicle and i am recommending this to you this vehicle for your comfort ride.,Access
